MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
6696;58674;Gary Haberfield;M;B;Single-ply;;Masters 2;120.4;120+;;;;;;160;-180;-180;;160;;;;;;160;1;91.92;91.92
12466;182896;Gary Hackney;M;SBD;Wraps;52;Master 50-54;104.5;110;;;;;162.5;;;;;112.5;;;;;177.5;452.5;1;270.85;315.54
12582;182896;Gary Hackney;M;SBD;Wraps;52;Master 50-54;105.8;110;;;;;155;;;;;120;;;;;200;475;1;283.09;329.80
11480;161683;Gary Hagins;M;SBD;Raw;26;Open;108.7;110;185;210;-232.5;;210;102.5;125;;;125;185;230;-262.5;;230;565;2;333.73;333.73
11631;161683;Gary Hagins;M;;Single-ply;24;Open Men;87.00;90;;;;;;;;;;137.50;;;;;;137.50;3;89.36;89.36
11631;161683;Gary Hagins;M;;Single-ply;24;Open Men;87.00;90;;;;;;;;;;;;;;;242.50;242.50;1;157.60;157.60
11641;161683;Gary Hagins;M;SBD;Single-ply;;Open Men;100;100;;;;;227.5;;;;;152.5;;;;;-234.96;;DQ;;
11721;161683;Gary Hagins;M;;Raw;29;Open Men;111.81;125;;;;;205;;;;;137.5;;;;;245;587.5;2;344.06;344.06
11831;161683;Gary Hagins;M;;Raw;32;Open Men;112.17;125;;;;;200.00;;;;;137.50;;;;;247.50;585.00;4;342.27;342.27
11831;161683;Gary Hagins;M;;Raw;32;Open Men;112.17;125;;;;;;;;;;;;;;;247.50;247.50;1;144.81;144.81
12250;178949;Gary Harrison;M;SBD;Raw;24;Open;121.5;125;;;;;205;;;;;165;;;;;245;615;1;352.58;352.58
12385;178949;Gary Harrison;M;SBD;Raw;25;Open;122.9;125;;;;;227.5;;;;;175;;;;;247.5;650;1;371.71;371.71
2902;53414;Gary Harvey;M;S;Raw;20;M-O;67.4;67.5;145;155;-170;;155;;;;;;;;;;;155;2;119.65;123.24
2902;53414;Gary Harvey;M;S;Raw;20;M-JR;67.4;67.5;145;155;-170;;155;;;;;;;;;;;155;1;119.65;123.24
2902;53414;Gary Harvey;M;B;Raw;20;M-O;67.4;67.5;;;;;;95;100;107.5;112.5;107.5;;;;;;107.5;1;82.98;85.47
2902;53414;Gary Harvey;M;B;Raw;20;M-JR;67.4;67.5;;;;;;95;100;107.5;112.5;107.5;;;;;;107.5;1;82.98;85.47
