MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
2599;39938;Quentin Gilbert;M;SBD;Single-ply;28.5;Open;104.35;105;320;335;350;;350;-240;240;250;;250;-300;-300;-300;;;;DQ;;
2601;39938;Quentin Gilbert;M;SBD;Single-ply;29.5;Open;92.78;93;-300;300;320;;320;205;215;222.5;;222.5;-290;290;-302.5;;290;832.5;2;523.56;523.56
2602;39938;Quentin Gilbert;M;SBD;Single-ply;29.5;Open;92.15;93;290;-310;310;;310;195;207.5;-215;;207.5;290;-305;310;;310;827.5;9;522.12;522.12
3095;39938;Quentin Gilbert;M;SBD;Raw;30.5;Open;92.65;93;270;282.5;-287.5;;282.5;180;192.5;-197.5;;192.5;280;292.5;-300;;292.5;767.5;6;483.00;483.00
3097;39938;Quentin Gilbert;M;SBD;Single-ply;30.5;Open;92.84;93;-330;-330;-330;;;220;227.5;232.5;;232.5;300;315;-325;;315;;DQ;;
3098;39938;Quentin Gilbert;M;SBD;Single-ply;30.5;Open;92.84;93;-330;-330;-330;;;220;227.5;232.5;;232.5;300;315;-325;;315;;DQ;;
3103;39938;Quentin Gilbert;M;SBD;Raw;31.5;Open;92.85;93;275;282.5;287.5;;287.5;185;192.5;195;;195;290;302.5;-312.5;;302.5;785;4;493.51;493.51
10380;132842;Quentin Gunning;M;SBD;Wraps;17;M-TR;122.2;125;215;-227.5;227.5;;227.5;125;135;137.5;;137.5;242.5;257.5;-277.5;;257.5;622.5;1;356.43;384.94
12288;132842;Quentin Gunning;M;SBD;Wraps;18;Junior 18-19;107.6;110;;;;;245;;;;;125;;;;;252.5;622.5;1;368.91;391.04
12288;132842;Quentin Gunning;M;SBD;Wraps;18;Open;107.6;110;;;;;245;;;;;125;;;;;252.5;622.5;4;368.91;391.04
10793;143606;Quentin Hebert;M;SBD;Raw;39.5;R-O;117.5;120;-172.4;-186;186;;186;124.7;136.1;-147.4;;136.1;172.4;188.2;197.3;;197.3;519.4;2;300.13;300.13
10801;143606;Quentin Hebert;M;SBD;Raw;39.5;R-O;112.60;120;185;190;195;;195.0;60;;;;60.0;192.5;210;217.5;;217.5;472.5;1;276.15;276.15
146;6283;Quentin Jacob;M;SBD;Wraps;19;M-T3;87.6;90;190;200;215;;215;115;120;-125;;120;205;225;-240;;225;560;1;362.59;377.09
12848;6283;Quentin Jacob;M;SBD;Wraps;19;Pro T3;87.6;90;190;200;215;;215;115;120;-125;;120;205;225;-240;;225;560;1;362.59;377.09
11522;164630;Quentin Jarrell;M;SBD;Single-ply;;Varsity;56;56;135;160;-167.5;;160;65;75;-82.5;;75;155;167.5;177.5;;177.5;412.5;5;375.52;375.52
9677;115286;Quentin Jones;M;SBD;Single-ply;;Boys;157.85;125+;;;;;165.56;;;;;127.01;;;;;158.76;451.32;6;247.91;247.91
9697;115286;Quentin Jones;M;SBD;Single-ply;;Boys;154.45;125+;;;;;192.78;;;;;113.4;;;;;183.7;489.88;3;269.93;269.93
9783;115286;Quentin Jones;M;SBD;Single-ply;;Boys;157.85;125+;;;;;206.38;;;;;129.27;;;;;192.78;528.44;1;290.27;290.27
9878;115286;Quentin Jones;M;SBD;Single-ply;;Boys;157.85;125+;;;;;226.8;;;;;136.08;;;;;195.04;557.92;1;306.46;306.46
9933;115286;Quentin Jones;M;SBD;Single-ply;;Boys;158.08;125+;;;;;231.33;;;;;136.08;;;;;195.04;562.45;3;308.89;308.89
9969;115286;Quentin Jones;M;SBD;Single-ply;;Boys;156.26;125+;;;;;249.48;;;;;129.27;;;;;204.12;582.87;2;320.64;320.64
9984;115286;Quentin Jones;M;SBD;Single-ply;;Boys;152.95;125+;;;;;260.82;;;;;136.08;;;;;195.04;591.94;10;326.62;326.62
2766;46641;Quentin Kelle;M;SBD;Raw;17.5;Subjunior;57.93;59;90;100;-105;;100;55;60;-62.5;;60;130;140;-152.5;;140;300;6;264.35;264.35
11417;160774;Quentin Krepline;M;SBD;Raw;;R-O;105;105;185;195;210;;210;115;125;132.5;;132.5;210;230;240;;240;582.5;1;348.07;348.07
10109;129257;Quentin Lee;M;SBD;Single-ply;;Boys;74.16;75;;;;;138.35;;;;;83.91;;;;;163.29;385.55;5;276.91;276.91
9862;123669;Quentin McKeehan;M;SBD;Single-ply;;Boys;73.66;75;;;;;106.59;;;;;79.38;;;;;142.88;328.85;10;237.32;237.32
9930;124550;Quentin McKeenan;M;SBD;Single-ply;;Boys;72.57;75;;;;;129.27;;;;;83.91;;;;;145.15;358.34;12;261.40;261.40
11522;164571;Quentin Moller;M;SBD;Single-ply;;Junior Varsity;60;60;92.5;105;-110;;105;57.5;65;67.5;;67.5;155;165;170;;170;342.5;4;292.11;292.11
11458;161385;Quentin Moter;M;SBD;Single-ply;;T2;73.4;74;83.9;88.5;97.5;;97.5;-61.2;61.2;70.3;;70.3;115.7;129.3;147.4;;147.4;315.3;2;228.12;228.12
11460;161385;Quentin Moter;M;SBD;Raw;;R-T2;75.2;83;97.5;104.3;117.9;;117.9;63.5;68;74.8;;74.8;133.8;-138.4;138.4;;138.4;331.1;6;235.49;235.49
