MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
10274;118419;Pedro Bernal;M;SBD;Single-ply;;Boys;112.22;125;;;;;306.17;;;;;151.95;;;;;272.16;730.28;1;427.22;427.22
10337;118419;Pedro Bernal;M;SBD;Single-ply;;Boys;111.86;125;;;;;306.17;;;;;156.49;;;;;272.16;734.82;2;430.28;430.28
10342;118419;Pedro Bernal;M;SBD;Single-ply;;Boys;112.94;125;;;;;283.5;;;;;163.29;;;;;260.82;707.6;5;413.20;413.20
11324;118419;Pedro Bernal;M;D;Raw;15.5;R-T1;56.7;59;;;;;;;;;;;80;100;107.5;;107.5;107.5;1;96.69;96.69
3959;73263;Pedro Björksted;M;SBD;Single-ply;17.5;Sub-Juniors;78.80;83;205.0;217.5;225.0;;225.0;125.0;132.5;-135.0;;132.5;215.0;227.5;-242.5;;227.5;585.0;2;403.25;403.25
9051;112615;Pedro Björkstedt;M;B;Raw;16.5;Under 17;80.35;83;;;;;;100;107.5;-117.5;;107.5;;;;;;107.5;5;73.19;73.19
9056;112615;Pedro Björkstedt;M;SBD;Single-ply;17.5;Under 20;80.8;83;205;215;222.5;;222.5;130;-137.5;-137.5;;130;-210;220;230;;230;582.5;1;395.20;395.20
9169;112615;Pedro Björkstedt;M;SBD;Raw;18.5;Under 20;82.28;83;185;195;-205;;195;120;127.5;-132.5;;127.5;230;245;-258;;245;567.5;1;380.78;380.78
9184;112615;Pedro Björkstedt;M;SBD;Raw;19.5;Under 20;82.40;83;150;;;;150;100;;;;100;175;205;225;;225;475;1;318.44;318.44
9255;112615;Pedro Björkstedt;M;SBD;Raw;19.5;Under 20;82.31;83;-205;205;-217.5;;205;125;130;-135;;130;220;240;250;;250;585;3;392.44;392.44
10744;142432;Pedro Briones;M;SBD;Raw;;R-T1;80.1;82.5;;;;;192.5;;;;;100;;;;;197.5;490;1;334.26;334.26
2745;46061;Pedro Caballero;M;SBD;Raw;24.5;Open;157.5;120+;250;-265;-272.5;;250;150;160;167.5;;167.5;240;252.5;-265;;252.5;670;1;368.15;368.15
2748;46061;Pedro Caballero;M;SBD;Raw;25.5;Open;157.65;120+;260;-275;290;;290;150;165;-172.5;;165;260;275;-297.5;;275;730;3;401.06;401.06
2751;46061;Pedro Caballero;M;SBD;Single-ply;25.5;Open;157.3;120+;270;290;305;;305;180;195;-205;;195;260;-280;280;;280;780;2;428.67;428.67
2755;46061;Pedro Caballero;M;SBD;Raw;26.5;Open;160.3;120+;280;297.5;305;;305;170;180;-185;;180;270;-290;-302.5;;270;755;2;413.78;413.78
10128;129572;Pedro Carpio;M;SBD;Single-ply;;Boys;89.58;90;;;;;195.04;;;;;124.74;;;;;183.7;503.49;10;322.19;322.19
10161;129572;Pedro Carpio;M;SBD;Single-ply;;Boys;88.81;90;;;;;190.51;;;;;120.2;;;;;190.51;501.22;6;322.18;322.18
10218;129572;Pedro Carpio;M;SBD;Single-ply;;Boys;91.17;100;;;;;192.78;;;;;131.54;;;;;179.17;503.49;7;319.35;319.35
9728;118953;Pedro Castillo;M;SBD;Single-ply;;Boys;115.58;125;;;;;151.95;;;;;111.13;;;;;149.69;412.77;6;239.52;239.52
9898;118953;Pedro Castillo;M;SBD;Single-ply;;Boys;115.89;125;;;;;151.95;;;;;102.06;;;;;154.22;408.23;7;236.72;236.72
9982;118953;Pedro Castillo;M;SBD;Single-ply;;Boys;116.12;125;;;;;179.17;;;;;117.93;;;;;145.15;442.25;11;256.32;256.32
10050;118953;Pedro Castillo;M;SBD;Single-ply;;Boys;120.43;125;;;;;188.24;;;;;113.4;;;;;174.63;476.27;6;273.59;273.59
10127;118953;Pedro Castillo;M;SBD;Single-ply;;Boys;117.62;125;;;;;170.1;;;;;136.08;;;;;170.1;476.27;5;275.14;275.14
11323;158482;Pedro Chacon;M;SBD;Raw;24.5;R-O;90.8;93;-215;215;220;;220;125;-130;132.5;;132.5;225;237.5;250;;250;602.5;3;382.92;382.92
12312;158482;Pedro Chacon;M;SBD;Raw;24;Open;92.75;100;;;;;205;;;;;130;;;;;242.5;577.5;5;363.24;363.24
2709;44053;Pedro Chavez;M;SBD;Single-ply;;M4;61.2;66;120;125;-130;;125;85;-90;;;85;135;145;-160;;145;355;1;297.40;297.40
2723;45029;Pedro Chrisostomo;M;B;Single-ply;17.5;Sub;108.4;110;;;;;;145;152.5;-160;;152.5;;;;;;152.5;2;90.16;90.16
99;3794;Pedro Claro;M;B;Raw;48;M_MR_2_WPC;74.2;75;;;;;;120;130;-135;;130;;;;;;130;1;93.33;102.39
